uid,nickname,saved_at
7063685274089926749,호랑호랑호랑호/14/노배속,2025-08-13 23:51:40
7069625652323699650,헤일리우치쿤/16/2배,2025-08-13 23:51:40
7069883603435436701,우주최강/4,2025-08-13 23:51:40
7079553043911711739,5생 / 12 / 2배,2025-08-13 23:51:40
7080836964090214582,곁에있을래요/16,2025-08-13 23:51:40
7095447594003751722,식빵빵/6레벨/×,2025-08-13 23:51:40
7095789875218312824,이실없/16,2025-08-13 23:51:40
7103773987714348894,너무사랑해김지안/10/x,2025-08-13 23:51:40
7110473234561589361,코코코넛밀크/12/³³³,2025-08-13 23:51:40
7131138645495056172,HoneyMoon/18/2배,2025-08-13 23:51:40
7135462366057792999,말랑한돌맹구/16/2배,2025-08-13 23:51:40
7143763175108318460,짱구1111/14/배속x,2025-08-13 23:51:40
7146909495832303212,돈다발 들고 좋아하는 무지,2025-08-13 23:51:40
7148047861780253419,개구리이빨깐다/12/배속x,2025-08-13 23:51:40
7149673224879363854,굿데이²/2,2025-08-13 23:51:40
7154594750340286751,ㅣ            ㅣ/18/⏪️,2025-08-13 23:51:40
7156508326978338231,쿻햔/14,2025-08-13 23:51:40
7171926917683548685,제몽이닷/16,2025-08-13 23:51:40
7177253401830518719,장구머리/13,2025-08-13 23:51:40
7209490145374161323,동래 불주먹,2025-08-13 23:51:40
7213100665169372165,머노폴리/12/배속 없음,2025-08-13 23:51:40
7222615168050066747,민다린/13,2025-08-13 23:51:40
7238505998955165394,12렙 빙찐,2025-08-13 23:51:40
7241593542338935858,다리미야옹 16 x2,2025-08-13 23:51:40
7245581165597316676,seyoon[14랩]/배속ㄴㄴ,2025-08-13 23:51:40
7245799805516488182,ᴱᵛᵉʳ악동²⁴⏩️,2025-08-13 23:51:40
7254804029828568531,꽁기깅꽁 / 19 / 2x,2025-08-13 23:51:40
7262324544270514714,ᴺᵃᵐᵉᵈ꾼²²,2025-08-13 23:51:40
7272028594237958064,오픈합니다/11,2025-08-13 23:51:40
7272162032866209972,❄Three_꺄비/19 X,2025-08-13 23:51:40
7274284578937010655,홍솔람1세/13,2025-08-13 23:51:40
7275411951766715887,누냐먼ㅍ텨탬/10,2025-08-13 23:51:40
7282477333176977945,노다무의지/15/2배x,2025-08-13 23:51:40
7284348049642059854,gunhee10/8렙,2025-08-13 23:51:40
7297904225102854270,🏛ᴛʀᴏʏ히도이²³,2025-08-13 23:51:40
7299137140805992759,교내/16/2배,2025-08-13 23:51:40
7303012456797751410,튀김우돗/14/X,2025-08-13 23:51:40
7303116459256018094,꾸달 / 17,2025-08-13 23:51:40
7306025644456707473,🏴‍☠️순백𝕍16❌️³,2025-08-13 23:51:40
